Location,Time,Value
China,2024,1419480778
China,2025,1416551445
China,2026,1413626707
China,2027,1410627358
China,2028,1407326298
China,2029,1403723067
China,2030,1399835643
China,2031,1395682192
China,2032,1391268084
China,2033,1386592687
China,2034,1381664230
China,2035,1376506044
China,2036,1371123396
China,2037,1365527394
China,2038,1359730219
China,2039,1353716371
China,2040,1347470202
China,2041,1340984064
China,2042,1334251137
China,2043,1327272338
China,2044,1320018352
China,2045,1312443287
China,2046,1304507385
China,2047,1296169858
China,2048,1287389580
China,2049,1278137338
China,2050,1268398599
China,2051,1258151350
China,2052,1247387896
China,2053,1236131078
China,2054,1224403949
China,2055,1212242460
China,2056,1199702337
China,2057,1186835948
China,2058,1173696325
China,2059,1160341553
China,2060,1146837054
China,2061,1133250586
China,2062,1119645760
China,2063,1106079767
China,2064,1092583703
China,2065,1079181201
China,2066,1065905094
China,2067,1052771084
China,2068,1039783227
China,2069,1026935098
China,2070,1014216388
China,2071,1001611570
China,2072,989096199.5
China,2073,976642325
China,2074,964225846.5
China,2075,951830630
China,2076,939430279.5
China,2077,927006899.5
China,2078,914553548.5
China,2079,902061048
China,2080,889538232
China,2081,877004539.5
China,2082,864490513
China,2083,852019281
China,2084,839605771.5
China,2085,827287751.5
China,2086,815100452.5
China,2087,803059637.5
China,2088,791171968.5
China,2089,779443790
China,2090,767886102.5
China,2091,756500763.5
China,2092,745268479.5
China,2093,734170336
China,2094,723196859.5
China,2095,712330904.5
China,2096,701564625
China,2097,690891990.5
China,2098,680298152.5
China,2099,669782118.5
China,2100,659345777.5
