Location,Time,Value
China,1990,1153582724
China,1991,1170788528
China,1992,1184574237
China,1993,1197308575
China,1994,1209003097
China,1995,1220133928
China,1996,1230944812
China,1997,1241139622
China,1998,1250847127
China,1999,1260176655
China,2000,1269581176
China,2001,1278725063
China,2002,1286866839
China,2003,1294517326
China,2004,1302100316
China,2005,1310027136
China,2006,1318054036
China,2007,1325813582
China,2008,1333821016
China,2009,1342522716
China,2010,1351561514
China,2011,1360250665
China,2012,1369520865
China,2013,1379008041
China,2014,1387951972
China,2015,1396134174
China,2016,1404052632
China,2017,1412354727
China,2018,1419008956
China,2019,1423520358
China,2020,1426106093
China,2021,1426437267
China,2022,1425179569
China,2023,1422584933
China,2024,1419321278
China,2025,1416096094
China,2026,1412914089
China,2027,1409679406
China,2028,1406136744
China,2029,1402282753
China,2030,1398153832
China,2031,1393748670
China,2032,1389060032
China,2033,1384096521
China,2034,1378876935
China,2035,1373427531
China,2036,1367742785
China,2037,1361830064
China,2038,1355722707
China,2039,1349394718
China,2040,1342816657
China,2041,1335990232
China,2042,1328909238
China,2043,1321590798
China,2044,1314015987
China,2045,1306113788
China,2046,1297817582
China,2047,1289120427
China,2048,1279992585
China,2049,1270381145
China,2050,1260289094
China,2051,1249692538
China,2052,1238557132
China,2053,1226929855
China,2054,1214853346
China,2055,1202342471
China,2056,1189440669
China,2057,1176217946
China,2058,1162722709
China,2059,1149002168
China,2060,1135127191
China,2061,1121174717
China,2062,1107207133
China,2063,1093276704
China,2064,1079407882
China,2065,1065632530
China,2066,1051989135
China,2067,1038472818
China,2068,1025103452
China,2069,1011878190
China,2070,998784319
China,2071,985806560
China,2072,972905671
China,2073,960055383
China,2074,947249416.5
China,2075,934466660.5
China,2076,921677629.5
China,2077,908874531.5
China,2078,896043788.5
China,2079,883166975.5
China,2080,870252344
China,2081,857328714.5
China,2082,844439196.5
China,2083,831604667.5
China,2084,818815356.5
China,2085,806115054
China,2086,793559254
China,2087,781153717.5
China,2088,768899132.5
China,2089,756809110.5
China,2090,744902836.5
China,2091,733179456.5
China,2092,721612750.5
China,2093,710185968
China,2094,698893770.5
China,2095,687724085
China,2096,676660877
China,2097,665695503.5
China,2098,654825389
China,2099,644049400.5
China,2100,633368112.5
