Location,Time,Variant,Value
Austria,2024,Zero-migration,9116408.5
Austria,2025,Zero-migration,9099168.5
Austria,2026,Zero-migration,9080693
Austria,2027,Zero-migration,9060796.5
Austria,2028,Zero-migration,9039273.5
Austria,2029,Zero-migration,9015912.5
Austria,2030,Zero-migration,8990569
Austria,2031,Zero-migration,8963145
Austria,2032,Zero-migration,8933697.5
Austria,2033,Zero-migration,8902346
Austria,2034,Zero-migration,8869172
Austria,2035,Zero-migration,8834318.5
Austria,2036,Zero-migration,8797982.5
Austria,2037,Zero-migration,8760346.5
Austria,2038,Zero-migration,8721536.5
Austria,2039,Zero-migration,8681593.5
Austria,2040,Zero-migration,8640569
Austria,2041,Zero-migration,8598500.5
Austria,2042,Zero-migration,8555437
Austria,2043,Zero-migration,8511278
Austria,2044,Zero-migration,8465822
Austria,2045,Zero-migration,8419000
Austria,2046,Zero-migration,8370773.5
Austria,2047,Zero-migration,8321075.5
Austria,2048,Zero-migration,8269811.5
Austria,2049,Zero-migration,8216859
Austria,2050,Zero-migration,8162207
Austria,2051,Zero-migration,8105839
Austria,2052,Zero-migration,8047704
Austria,2053,Zero-migration,7987990
Austria,2054,Zero-migration,7926777
Austria,2055,Zero-migration,7864132
Austria,2056,Zero-migration,7800306
Austria,2057,Zero-migration,7735520
Austria,2058,Zero-migration,7669995
Austria,2059,Zero-migration,7603863.5
Austria,2060,Zero-migration,7537415.5
Austria,2061,Zero-migration,7470979.5
Austria,2062,Zero-migration,7404712
Austria,2063,Zero-migration,7338698.5
Austria,2064,Zero-migration,7273067.5
Austria,2065,Zero-migration,7207997
Austria,2066,Zero-migration,7143496
Austria,2067,Zero-migration,7079538
Austria,2068,Zero-migration,7016159.5
Austria,2069,Zero-migration,6953278.5
Austria,2070,Zero-migration,6890825
Austria,2071,Zero-migration,6828690.5
Austria,2072,Zero-migration,6766625.5
Austria,2073,Zero-migration,6704647.5
Austria,2074,Zero-migration,6642718
Austria,2075,Zero-migration,6580718
Austria,2076,Zero-migration,6518625.5
Austria,2077,Zero-migration,6456386
Austria,2078,Zero-migration,6394060.5
Austria,2079,Zero-migration,6331713.5
Austria,2080,Zero-migration,6269368.5
Austria,2081,Zero-migration,6207137.5
Austria,2082,Zero-migration,6145143.5
Austria,2083,Zero-migration,6083555
Austria,2084,Zero-migration,6022520.5
