Location,Time,Variant,Value
Austria,1990,Median,7679624.5
Austria,1991,Median,7757140
Austria,1992,Median,7842712
Austria,1993,Median,7907495.5
Austria,1994,Median,7938155
Austria,1995,Median,7950321.5
Austria,1996,Median,7960914.5
Austria,1997,Median,7969803.5
Austria,1998,Median,7978465.5
Austria,1999,Median,7993892.5
Austria,2000,Median,8012928
Austria,2001,Median,8042232.5
Austria,2002,Median,8081636.5
Austria,2003,Median,8122602
Austria,2004,Median,8173491
Austria,2005,Median,8229204.5
Austria,2006,Median,8269898.499999999
Austria,2007,Median,8296951.999999999
Austria,2008,Median,8323252.500000001
Austria,2009,Median,8345065.500000001
Austria,2010,Median,8365091.5
Austria,2011,Median,8393270
Austria,2012,Median,8431601
Austria,2013,Median,8481406.5
Austria,2014,Median,8547817.5
Austria,2015,Median,8644038.5
Austria,2016,Median,8737915.5
Austria,2017,Median,8798777.5
Austria,2018,Median,8841650.5
Austria,2019,Median,8880876
Austria,2020,Median,8921405
Austria,2021,Median,8967056.5
Austria,2022,Median,9064677
Austria,2023,Median,9130429
Austria,2024,Median,9120813
Austria,2025,Median,9113574
Austria,2026,Median,9107266
Austria,2027,Median,9101493
Austria,2028,Median,9096265
Austria,2029,Median,9089763.5
Austria,2030,Median,9080346.5
Austria,2031,Median,9069088.5
Austria,2032,Median,9056509.5
Austria,2033,Median,9043485.5
Austria,2034,Median,9029409.5
Austria,2035,Median,9014208
Austria,2036,Median,8999245.5
Austria,2037,Median,8982695.5
Austria,2038,Median,8966400.5
Austria,2039,Median,8950790.5
Austria,2040,Median,8934061.5
Austria,2041,Median,8917559.5
Austria,2042,Median,8900674
Austria,2043,Median,8883178
Austria,2044,Median,8864497.5
Austria,2045,Median,8844730
Austria,2046,Median,8824199
Austria,2047,Median,8801902.5
Austria,2048,Median,8777846
Austria,2049,Median,8751755.5
Austria,2050,Median,8724332
Austria,2051,Median,8696685.5
Austria,2052,Median,8667921.5
Austria,2053,Median,8636710.5
Austria,2054,Median,8603886
Austria,2055,Median,8570634.5
Austria,2056,Median,8537011.5
Austria,2057,Median,8501897
Austria,2058,Median,8465818
Austria,2059,Median,8430060.5
Austria,2060,Median,8394695.5
Austria,2061,Median,8360105.5
Austria,2062,Median,8325620.000000001
Austria,2063,Median,8291172.500000001
Austria,2064,Median,8258211.499999999
Austria,2065,Median,8225772.000000001
Austria,2066,Median,8193049.499999999
Austria,2067,Median,8161532.5
Austria,2068,Median,8131306
Austria,2069,Median,8101554.5
Austria,2070,Median,8072756
Austria,2071,Median,8045284
Austria,2072,Median,8017716.5
Austria,2073,Median,7990447
Austria,2074,Median,7963623.5
Austria,2075,Median,7937308
Austria,2076,Median,7911661.5
Austria,2077,Median,7884737
Austria,2078,Median,7857205.5
Austria,2079,Median,7830807.5
Austria,2080,Median,7805761
Austria,2081,Median,7781119
Austria,2082,Median,7755989
Austria,2083,Median,7730759
Austria,2084,Median,7705346.5
Austria,2085,Median,7680365.5
Austria,2086,Median,7656850.5
Austria,2087,Median,7634721
Austria,2088,Median,7612694.5
Austria,2089,Median,7590340.5
Austria,2090,Median,7569186.5
Austria,2091,Median,7549429
Austria,2092,Median,7530928.5
Austria,2093,Median,7513401.5
Austria,2094,Median,7496580.5
Austria,2095,Median,7479874
Austria,2096,Median,7462943
Austria,2097,Median,7446091.5
Austria,2098,Median,7429819
Austria,2099,Median,7414451
Austria,2100,Median,7399328.5
Belgium,1990,Median,9960968
Belgium,1991,Median,9998961
Belgium,1992,Median,10045987
Belgium,1993,Median,10084930.5
Belgium,1994,Median,10116005.5
Belgium,1995,Median,10137265
Belgium,1996,Median,10156969.5
Belgium,1997,Median,10181464
Belgium,1998,Median,10203181.5
Belgium,1999,Median,10226681.5
Belgium,2000,Median,10251717
Belgium,2001,Median,10287004.5
Belgium,2002,Median,10332973
Belgium,2003,Median,10376260
Belgium,2004,Median,10421292
Belgium,2005,Median,10478885.5
Belgium,2006,Median,10548442.5
Belgium,2007,Median,10625492.5
Belgium,2008,Median,10709707.5
Belgium,2009,Median,10812935.5
Belgium,2010,Median,10936625.5
Belgium,2011,Median,11038631.5
Belgium,2012,Median,11107518
Belgium,2013,Median,11160276
Belgium,2014,Median,11210119
Belgium,2015,Median,11275334.5
Belgium,2016,Median,11332700.5
Belgium,2017,Median,11376580.5
Belgium,2018,Median,11428605
Belgium,2019,Median,11490618
Belgium,2020,Median,11540107
Belgium,2021,Median,11570843.5
Belgium,2022,Median,11641820
Belgium,2023,Median,11712893
Belgium,2024,Median,11738763.5
Belgium,2025,Median,11758603
Belgium,2026,Median,11774642.5
Belgium,2027,Median,11788639.5
Belgium,2028,Median,11801622
Belgium,2029,Median,11813659
Belgium,2030,Median,11824141
Belgium,2031,Median,11833002.5
Belgium,2032,Median,11841124
Belgium,2033,Median,11849247.5
Belgium,2034,Median,11856875.5
Belgium,2035,Median,11863584.5
Belgium,2036,Median,11869958
Belgium,2037,Median,11876528.5
Belgium,2038,Median,11882906
Belgium,2039,Median,11888117
Belgium,2040,Median,11892204.5
Belgium,2041,Median,11895957.5
Belgium,2042,Median,11898971
Belgium,2043,Median,11900653.5
Belgium,2044,Median,11901548.5
Belgium,2045,Median,11900984
Belgium,2046,Median,11898559.5
Belgium,2047,Median,11894556.5
Belgium,2048,Median,11888624
Belgium,2049,Median,11880656.5
Belgium,2050,Median,11870906
Belgium,2051,Median,11859002.5
Belgium,2052,Median,11844314.5
Belgium,2053,Median,11827231.5
Belgium,2054,Median,11809034.5
Belgium,2055,Median,11790123
Belgium,2056,Median,11769786
Belgium,2057,Median,11747805.5
Belgium,2058,Median,11726478.5
Belgium,2059,Median,11705883.5
Belgium,2060,Median,11684663
Belgium,2061,Median,11662417.5
Belgium,2062,Median,11639828
Belgium,2063,Median,11618143
Belgium,2064,Median,11597066.5
Belgium,2065,Median,11577020
Belgium,2066,Median,11558128.5
Belgium,2067,Median,11540449
Belgium,2068,Median,11523333.5
Belgium,2069,Median,11506727
Belgium,2070,Median,11490796
Belgium,2071,Median,11476221.5
Belgium,2072,Median,11463025
Belgium,2073,Median,11449950.5
Belgium,2074,Median,11436977
Belgium,2075,Median,11424663.5
Belgium,2076,Median,11413124.5
Belgium,2077,Median,11401155.5
Belgium,2078,Median,11387797.5
Belgium,2079,Median,11374349.5
Belgium,2080,Median,11361054.5
Belgium,2081,Median,11348181.5
Belgium,2082,Median,11335106.5
Belgium,2083,Median,11321441.5
Belgium,2084,Median,11308006
Belgium,2085,Median,11294427
Belgium,2086,Median,11280649
Belgium,2087,Median,11265957
Belgium,2088,Median,11250780
Belgium,2089,Median,11236086.5
Belgium,2090,Median,11221815.5
Belgium,2091,Median,11207572.5
Belgium,2092,Median,11192507.5
Belgium,2093,Median,11176899
