Location,Time,Projection,Value
France,2024,Zero-migration,66503262
France,2025,Zero-migration,66514301
France,2026,Zero-migration,66519234
France,2027,Zero-migration,66518744.5
France,2028,Zero-migration,66513277.5
France,2029,Zero-migration,66503257.5
France,2030,Zero-migration,66488384.5
France,2031,Zero-migration,66468144
France,2032,Zero-migration,66442485
France,2033,Zero-migration,66410677.5
France,2034,Zero-migration,66371855
France,2035,Zero-migration,66325306.5
France,2036,Zero-migration,66270701
France,2037,Zero-migration,66207564.5
France,2038,Zero-migration,66134556
France,2039,Zero-migration,66049783
France,2040,Zero-migration,65952619.5
France,2041,Zero-migration,65843646
France,2042,Zero-migration,65722439
France,2043,Zero-migration,65588544.5
France,2044,Zero-migration,65442131
France,2045,Zero-migration,65283815.5
France,2046,Zero-migration,65113450
France,2047,Zero-migration,64931562
France,2048,Zero-migration,64739584.5
France,2049,Zero-migration,64537662
France,2050,Zero-migration,64326003.5
France,2051,Zero-migration,64105343
France,2052,Zero-migration,63876831.5
France,2053,Zero-migration,63641512.5
France,2054,Zero-migration,63399595
France,2055,Zero-migration,63151794.5
France,2056,Zero-migration,62898905
France,2057,Zero-migration,62641960.5
France,2058,Zero-migration,62382006
France,2059,Zero-migration,62119651.5
France,2060,Zero-migration,61856211
France,2061,Zero-migration,61592986.5
France,2062,Zero-migration,61330777
France,2063,Zero-migration,61069490.5
France,2064,Zero-migration,60809876
France,2065,Zero-migration,60552849
France,2066,Zero-migration,60298699.5
France,2067,Zero-migration,60047326.5
France,2068,Zero-migration,59799120
France,2069,Zero-migration,59554884.5
France,2070,Zero-migration,59314080
France,2071,Zero-migration,59076567.5
France,2072,Zero-migration,58841721.5
France,2073,Zero-migration,58608468.5
France,2074,Zero-migration,58376423
France,2075,Zero-migration,58144953.5
France,2076,Zero-migration,57913193
France,2077,Zero-migration,57680477
France,2078,Zero-migration,57446133
France,2079,Zero-migration,57209655
France,2080,Zero-migration,56970655.5
France,2081,Zero-migration,56729308.5
France,2082,Zero-migration,56485778
France,2083,Zero-migration,56239648
France,2084,Zero-migration,55991339
France,2085,Zero-migration,55740715.5
France,2086,Zero-migration,55487504.5
France,2087,Zero-migration,55231564
France,2088,Zero-migration,54972675
France,2089,Zero-migration,54711081.5
France,2090,Zero-migration,54447049
France,2091,Zero-migration,54180223.5
France,2092,Zero-migration,53910037.5
France,2093,Zero-migration,53636587
France,2094,Zero-migration,53360245
France,2095,Zero-migration,53080563
France,2096,Zero-migration,52796894.5
France,2097,Zero-migration,52509813
France,2098,Zero-migration,52220432
France,2099,Zero-migration,51929454.5
France,2100,Zero-migration,51636904
Germany,2024,Zero-migration,84533766.5
Germany,2025,Zero-migration,84205870
Germany,2026,Zero-migration,83868048
Germany,2027,Zero-migration,83518548
Germany,2028,Zero-migration,83159000.5
Germany,2029,Zero-migration,82790752.5
Germany,2030,Zero-migration,82412712
Germany,2031,Zero-migration,82025910.5
Germany,2032,Zero-migration,81631994.5
Germany,2033,Zero-migration,81230949.5
Germany,2034,Zero-migration,80823135.5
Germany,2035,Zero-migration,80409733.5
Germany,2036,Zero-migration,79991234.5
Germany,2037,Zero-migration,79567265
Germany,2038,Zero-migration,79136634.5
Germany,2039,Zero-migration,78698682.5
Germany,2040,Zero-migration,78253060.5
Germany,2041,Zero-migration,77799123
Germany,2042,Zero-migration,77337182.5
Germany,2043,Zero-migration,76867583.5
Germany,2044,Zero-migration,76389570
Germany,2045,Zero-migration,75903222.5
Germany,2046,Zero-migration,75408839
Germany,2047,Zero-migration,74906120.5
Germany,2048,Zero-migration,74396057
Germany,2049,Zero-migration,73878762
Germany,2050,Zero-migration,73353772.5
Germany,2051,Zero-migration,72821326
Germany,2052,Zero-migration,72281516.5
Germany,2053,Zero-migration,71734747.5
Germany,2054,Zero-migration,71182237
Germany,2055,Zero-migration,70626386
Germany,2056,Zero-migration,70069394.5
Germany,2057,Zero-migration,69512554
Germany,2058,Zero-migration,68957217.5
Germany,2059,Zero-migration,68405038.5
Germany,2060,Zero-migration,67858355.5
Germany,2061,Zero-migration,67319218
Germany,2062,Zero-migration,66788102.5
Germany,2063,Zero-migration,66265625
Germany,2064,Zero-migration,65752900.5
Germany,2065,Zero-migration,65250130.5
Germany,2066,Zero-migration,64756387.5
Germany,2067,Zero-migration,64269521
Germany,2068,Zero-migration,63787474.5
Germany,2069,Zero-migration,63309259
Germany,2070,Zero-migration,62833552
Germany,2071,Zero-migration,62358654
Germany,2072,Zero-migration,61883647.5
Germany,2073,Zero-migration,61407977
Germany,2074,Zero-migration,60931303
Germany,2075,Zero-migration,60453660
Germany,2076,Zero-migration,59975249.5
Germany,2077,Zero-migration,59496162.5
Germany,2078,Zero-migration,59016945
Germany,2079,Zero-migration,58539257.5
Germany,2080,Zero-migration,58064276.5
Germany,2081,Zero-migration,57592589
Germany,2082,Zero-migration,57124758.5
Germany,2083,Zero-migration,56662661
Germany,2084,Zero-migration,56208057.5
Germany,2085,Zero-migration,55761072.5
Germany,2086,Zero-migration,55322827
Germany,2087,Zero-migration,54894202
Germany,2088,Zero-migration,54475535.5
Germany,2089,Zero-migration,54067621
Germany,2090,Zero-migration,53669506.5
Germany,2091,Zero-migration,53280974.5
Germany,2092,Zero-migration,52902829
Germany,2093,Zero-migration,52533610
Germany,2094,Zero-migration,52172078
Germany,2095,Zero-migration,51817417.5
Germany,2096,Zero-migration,51469137
Germany,2097,Zero-migration,51126890
Germany,2098,Zero-migration,50790335.5
Germany,2099,Zero-migration,50458193
Germany,2100,Zero-migration,50128998
Italy,2024,Zero-migration,59295241
Italy,2025,Zero-migration,59013365.5
Italy,2026,Zero-migration,58726666.5
Italy,2027,Zero-migration,58434985.5
Italy,2028,Zero-migration,58138933.5
Italy,2029,Zero-migration,57837725.5
Italy,2030,Zero-migration,57531556.5
Italy,2031,Zero-migration,57220680.5
Italy,2032,Zero-migration,56904687.5
Italy,2033,Zero-migration,56584028.5
Italy,2034,Zero-migration,56258575.5
Italy,2035,Zero-migration,55927909.5
Italy,2036,Zero-migration,55591639
Italy,2037,Zero-migration,55249621
Italy,2038,Zero-migration,54901603.5
Italy,2039,Zero-migration,54546726.5
Italy,2040,Zero-migration,54184384
Italy,2041,Zero-migration,53814115
Italy,2042,Zero-migration,53435209.5
Italy,2043,Zero-migration,53046514.5
Italy,2044,Zero-migration,52647818
Italy,2045,Zero-migration,52239181
Italy,2046,Zero-migration,51819001
Italy,2047,Zero-migration,51386765.5
Italy,2048,Zero-migration,50942930
Italy,2049,Zero-migration,50487102.5
Italy,2050,Zero-migration,50018905.5
Italy,2051,Zero-migration,49538581
Italy,2052,Zero-migration,49046439
Italy,2053,Zero-migration,48542631
Italy,2054,Zero-migration,48028411.5
Italy,2055,Zero-migration,47505223.5
Italy,2056,Zero-migration,46974111.5
Italy,2057,Zero-migration,46436381
Italy,2058,Zero-migration,45893648.5
Italy,2059,Zero-migration,45347823.5
Italy,2060,Zero-migration,44800588.5
Italy,2061,Zero-migration,44253522.5
Italy,2062,Zero-migration,43708369
Italy,2063,Zero-migration,43167335
Italy,2064,Zero-migration,42632541.5
Italy,2065,Zero-migration,42104946.5
Italy,2066,Zero-migration,41585647
Italy,2067,Zero-migration,41076358.5
Italy,2068,Zero-migration,40577638.5
Italy,2069,Zero-migration,40089909.5
Italy,2070,Zero-migration,39613915
Italy,2071,Zero-migration,39150119.5
Italy,2072,Zero-migration,38698173.5
Italy,2073,Zero-migration,38257285.5
Italy,2074,Zero-migration,37827204.5
Italy,2075,Zero-migration,37407567.5
Italy,2076,Zero-migration,36997193
Italy,2077,Zero-migration,36595081
Italy,2078,Zero-migration,36200075
Italy,2079,Zero-migration,35811133.5
Italy,2080,Zero-migration,35427597.5
Italy,2081,Zero-migration,35048814.5
Italy,2082,Zero-migration,34674113.5
Italy,2083,Zero-migration,34302832
Italy,2084,Zero-migration,33935013.5
Italy,2085,Zero-migration,33569950.5
Italy,2086,Zero-migration,33206657.5
Italy,2087,Zero-migration,32844356.5
Italy,2088,Zero-migration,32483518.5
Italy,2089,Zero-migration,32125183.5
Italy,2090,Zero-migration,31769402.5
Italy,2091,Zero-migration,31416875
Italy,2092,Zero-migration,31067768.5
Italy,2093,Zero-migration,30721779.5
Italy,2094,Zero-migration,30379052.5
Italy,2095,Zero-migration,30039770.5
Italy,2096,Zero-migration,29703654
Italy,2097,Zero-migration,29371028.5
Italy,2098,Zero-migration,29042388.5
Italy,2099,Zero-migration,28717853
Italy,2100,Zero-migration,28397254.5
Spain,2024,Zero-migration,47854687.5
Spain,2025,Zero-migration,47729616.5
Spain,2026,Zero-migration,47598438.5
Spain,2027,Zero-migration,47461166
Spain,2028,Zero-migration,47318315
Spain,2029,Zero-migration,47170018.5
Spain,2030,Zero-migration,47016251
Spain,2031,Zero-migration,46857026.5
Spain,2032,Zero-migration,46692583
Spain,2033,Zero-migration,46522958
Spain,2034,Zero-migration,46347614
Spain,2035,Zero-migration,46166125.5
Spain,2036,Zero-migration,45978626
Spain,2037,Zero-migration,45785127.5
Spain,2038,Zero-migration,45585284
Spain,2039,Zero-migration,45378710.5
Spain,2040,Zero-migration,45165234
Spain,2041,Zero-migration,44944357.5
Spain,2042,Zero-migration,44715593.5
Spain,2043,Zero-migration,44477971.5
Spain,2044,Zero-migration,44230475
Spain,2045,Zero-migration,43972375
Spain,2046,Zero-migration,43702780.5
Spain,2047,Zero-migration,43421028
Spain,2048,Zero-migration,43126055.5
Spain,2049,Zero-migration,42817450.5
Spain,2050,Zero-migration,42495011
Spain,2051,Zero-migration,42158938.5
Spain,2052,Zero-migration,41809681.5
Spain,2053,Zero-migration,41447496
Spain,2054,Zero-migration,41073285
Spain,2055,Zero-migration,40687586
Spain,2056,Zero-migration,40291336.5
Spain,2057,Zero-migration,39885782
Spain,2058,Zero-migration,39471703
Spain,2059,Zero-migration,39050202.5
Spain,2060,Zero-migration,38622698.5
Spain,2061,Zero-migration,38190641
Spain,2062,Zero-migration,37755773
Spain,2063,Zero-migration,37318751
Spain,2064,Zero-migration,36880411
Spain,2065,Zero-migration,36442284.5
Spain,2066,Zero-migration,36005322.5
Spain,2067,Zero-migration,35570486
Spain,2068,Zero-migration,35138854.5
Spain,2069,Zero-migration,34711691
Spain,2070,Zero-migration,34289520
Spain,2071,Zero-migration,33873432.5
Spain,2072,Zero-migration,33465163
Spain,2073,Zero-migration,33065169
Spain,2074,Zero-migration,32673763
Spain,2075,Zero-migration,32291543
Spain,2076,Zero-migration,31919203
Spain,2077,Zero-migration,31557167.5
Spain,2078,Zero-migration,31205049
Spain,2079,Zero-migration,30862543
Spain,2080,Zero-migration,30529032.5
Spain,2081,Zero-migration,30203366.5
Spain,2082,Zero-migration,29885164
Spain,2083,Zero-migration,29573829
Spain,2084,Zero-migration,29268465.5
Spain,2085,Zero-migration,28968294
