Location,Time,Projection,Value
France,1990,Median,56990238.5
France,1991,Median,57271565
France,1992,Median,57554870
France,1993,Median,57801266.5
France,1994,Median,57999866.5
France,1995,Median,58192203
France,1996,Median,58380641.5
France,1997,Median,58568660
France,1998,Median,58778816
France,1999,Median,59084210
France,2000,Median,59483716.5
France,2001,Median,59905127.5
France,2002,Median,60327248
France,2003,Median,60741125.5
France,2004,Median,61175246.5
France,2005,Median,61625032
France,2006,Median,62049837.5
France,2007,Median,62432439
France,2008,Median,62780190
France,2009,Median,63106463
France,2010,Median,63417362.5
France,2011,Median,63733777
France,2012,Median,64058465.5
France,2013,Median,64387734
France,2014,Median,64692492.5
France,2015,Median,64916336
France,2016,Median,65086855.5
France,2017,Median,65284776
France,2018,Median,65519542.5
France,2019,Median,65729459
France,2020,Median,65905277.5
France,2021,Median,66083547.5
France,2022,Median,66277408.5
France,2023,Median,66438822
France,2024,Median,66548530.5
France,2025,Median,66650804.5
France,2026,Median,66746400.5
France,2027,Median,66838261.5
France,2028,Median,66928636
France,2029,Median,67018329
France,2030,Median,67107691
France,2031,Median,67194855
France,2032,Median,67281979.5
France,2033,Median,67369321.5
France,2034,Median,67458149.5
France,2035,Median,67547945.5
France,2036,Median,67635315.5
France,2037,Median,67721110
France,2038,Median,67801926.5
France,2039,Median,67873403
France,2040,Median,67938904
France,2041,Median,68002575
France,2042,Median,68063860
France,2043,Median,68115786
France,2044,Median,68157082.5
France,2045,Median,68190954.5
France,2046,Median,68214672.5
France,2047,Median,68229077
France,2048,Median,68235289.5
France,2049,Median,68231375
France,2050,Median,68219675
France,2051,Median,68200254.5
France,2052,Median,68175770.5
France,2053,Median,68146931.5
France,2054,Median,68111014.5
France,2055,Median,68067631
France,2056,Median,68022156.5
France,2057,Median,67978669
France,2058,Median,67935849.5
France,2059,Median,67892952
France,2060,Median,67850294.5
France,2061,Median,67810557.5
France,2062,Median,67772616
France,2063,Median,67739664
France,2064,Median,67713647
France,2065,Median,67691804.5
France,2066,Median,67677299.5
France,2067,Median,67669051.5
France,2068,Median,67664280
France,2069,Median,67668109
France,2070,Median,67678905
France,2071,Median,67698397.5
France,2072,Median,67724513.5
France,2073,Median,67752339.5
France,2074,Median,67784584.5
France,2075,Median,67822261
France,2076,Median,67863936
France,2077,Median,67905318
France,2078,Median,67945204
France,2079,Median,67984811
France,2080,Median,68024937
France,2081,Median,68066815.5
France,2082,Median,68108439.5
France,2083,Median,68153316.5
France,2084,Median,68198942.5
France,2085,Median,68237653.5
France,2086,Median,68276452.5
France,2087,Median,68316291.5
France,2088,Median,68354444.5
France,2089,Median,68389693.5
France,2090,Median,68421882.5
France,2091,Median,68451045
France,2092,Median,68475278
France,2093,Median,68498700.5
France,2094,Median,68518865.5
France,2095,Median,68529647
France,2096,Median,68529526.5
France,2097,Median,68523856.5
France,2098,Median,68516588.5
France,2099,Median,68503747
France,2100,Median,68484558.5
Germany,1990,Median,79707959
Germany,1991,Median,80303196
Germany,1992,Median,80934898
Germany,1993,Median,81486772.5
Germany,1994,Median,81773616.5
Germany,1995,Median,82019890.5
Germany,1996,Median,82263189.5
Germany,1997,Median,82389638
Germany,1998,Median,82011939
Germany,1999,Median,81678287
Germany,2000,Median,81797258.5
Germany,2001,Median,81933884.5
Germany,2002,Median,82068326.5
Germany,2003,Median,82111615.5
Germany,2004,Median,82092708.5
Germany,2005,Median,82046730.5
Germany,2006,Median,81701971
Germany,2007,Median,81298542.5
Germany,2008,Median,81110776.5
Germany,2009,Median,80935283
Germany,2010,Median,80830924
Germany,2011,Median,80857873.5
Germany,2012,Median,80916390.5
Germany,2013,Median,81041581.5
Germany,2014,Median,81376080
Germany,2015,Median,82077550.5
Germany,2016,Median,82760102.5
Germany,2017,Median,83104007
Germany,2018,Median,83368505.5
Germany,2019,Median,83559186.5
Germany,2020,Median,83628708.5
Germany,2021,Median,83697082.5
Germany,2022,Median,84086227
Germany,2023,Median,84548231
Germany,2024,Median,84552242
Germany,2025,Median,84075074.5
Germany,2026,Median,83644258
Germany,2027,Median,83442705.5
Germany,2028,Median,83229082
Germany,2029,Median,83005443
Germany,2030,Median,82780953
Germany,2031,Median,82552437
Germany,2032,Median,82323676.5
Germany,2033,Median,82099756
Germany,2034,Median,81882649.5
Germany,2035,Median,81669909.5
Germany,2036,Median,81443393.5
Germany,2037,Median,81216896.5
Germany,2038,Median,80993996.5
Germany,2039,Median,80770009
Germany,2040,Median,80551736
Germany,2041,Median,80345656
Germany,2042,Median,80149109.5
Germany,2043,Median,79942135.5
Germany,2044,Median,79719613
Germany,2045,Median,79491795.5
Germany,2046,Median,79264457.5
Germany,2047,Median,79034280.5
Germany,2048,Median,78791084
Germany,2049,Median,78540887
Germany,2050,Median,78294613
Germany,2051,Median,78048437.5
Germany,2052,Median,77800877
