Location,Time,Value
India,2024,1451251207
India,2025,1464754828
India,2026,1478014240
India,2027,1491028369
India,2028,1503768984
India,2029,1516235116
India,2030,1528442703
India,2031,1540363885
India,2032,1551958823
India,2033,1563218227
India,2034,1574145426
India,2035,1584728020
India,2036,1594942190
India,2037,1604757520
India,2038,1614154919
India,2039,1623141520
India,2040,1631741732
India,2041,1639942377
India,2042,1647716748
India,2043,1655074809
India,2044,1662034202
India,2045,1668593762
India,2046,1674760013
India,2047,1680538930
India,2048,1685933054
India,2049,1690971302
India,2050,1695667407
India,2051,1700028634
India,2052,1704052913
India,2053,1707741039
India,2054,1711090106
India,2055,1714113587
India,2056,1716846957
India,2057,1719291494
India,2058,1721430078
India,2059,1723251004
India,2060,1724756656
India,2061,1725939869
India,2062,1726805618
India,2063,1727358071
India,2064,1727593167
India,2065,1727500784
India,2066,1727081561
India,2067,1726334508
India,2068,1725243630
India,2069,1723811022
India,2070,1722041935
India,2071,1719955531
India,2072,1717546890
India,2073,1714828115
India,2074,1711821881
India,2075,1708515061
India,2076,1704925046
India,2077,1701079865
India,2078,1696974604
India,2079,1692617827
India,2080,1688034040
India,2081,1683230151
India,2082,1678225505
India,2083,1673036939
India,2084,1667672951
India,2085,1662139243
India,2086,1656449416
India,2087,1650625803
India,2088,1644674696
India,2089,1638598973
India,2090,1632411808
India,2091,1626133546
India,2092,1619775697
India,2093,1613333898
India,2094,1606812032
India,2095,1600218668
India,2096,1593571764
India,2097,1586885618
India,2098,1580151940
India,2099,1573387303
India,2100,1566593447
