Location,Time,Value
India,1990,864972221.5
India,1991,883927600.5
India,1992,902957070
India,1993,922118387
India,1994,941163767.5
India,1995,960301043.5
India,1996,979678458.5
India,1997,999133761.5
India,1998,1018665080
India,1999,1038225823
India,2000,1057922733
India,2001,1077898575
India,2002,1097600381
India,2003,1116803006
India,2004,1135991514
India,2005,1154676322
India,2006,1172878890
India,2007,1190676021
India,2008,1207930964
India,2009,1225524753
India,2010,1243481564
India,2011,1261224955
India,2012,1278674503
India,2013,1295829511
India,2014,1312277192
India,2015,1328024498
India,2016,1343944296
India,2017,1359657400
India,2018,1374659064
India,2019,1389030312
India,2020,1402617696
India,2021,1414203896
India,2022,1425423213
India,2023,1438069596
India,2024,1450935791
India,2025,1463865525
India,2026,1476625577
India,2027,1489164674
India,2028,1501432740
India,2029,1513423731
India,2030,1525138845
India,2031,1536540602
India,2032,1547607125
India,2033,1558324080
India,2034,1568688353
India,2035,1578694796
India,2036,1588325359
India,2037,1597537007
India,2038,1606300649
India,2039,1614639241
India,2040,1622580039
India,2041,1630119369
India,2042,1637235358
India,2043,1643915270
India,2044,1650186612
India,2045,1656067583
India,2046,1661548392
India,2047,1666628147
India,2048,1671309726
India,2049,1675619895
India,2050,1679589259
India,2051,1683220886
India,2052,1686507892
India,2053,1689465439
India,2054,1692068272
India,2055,1694328245
India,2056,1696276842
India,2057,1697919569
India,2058,1699255337
India,2059,1700266000
India,2060,1700951714
India,2061,1701283707
India,2062,1701273211
India,2063,1700949862
India,2064,1700300211
India,2065,1699297227
India,2066,1697969498
India,2067,1696316154
India,2068,1694295580
India,2069,1691921452
India,2070,1689202540
India,2071,1686157650
India,2072,1682786825
India,2073,1679105607
India,2074,1675136968
India,2075,1670860308
India,2076,1666299927
India,2077,1661484931
India,2078,1656416560
India,2079,1651101286
India,2080,1645548761
India,2081,1639778180
India,2082,1633817741
India,2083,1627669471
India,2084,1621344018
India,2085,1614843929
India,2086,1608173606
India,2087,1601390982
India,2088,1594493061
India,2089,1587459179
India,2090,1580305097
India,2091,1573053552
India,2092,1565745949
India,2093,1558360380
India,2094,1550887932
India,2095,1543363232
India,2096,1535804565
India,2097,1528221481
India,2098,1520590140
India,2099,1512932637
India,2100,1505251761
