Location,Time,Value
Japan,2024,123676364.5
Japan,2025,122880265.5
Japan,2026,122071010
Japan,2027,121248872.5
Japan,2028,120415347.5
Japan,2029,119571716.5
Japan,2030,118718309
Japan,2031,117855125
Japan,2032,116981605
Japan,2033,116098146
Japan,2034,115205035
Japan,2035,114303530.5
Japan,2036,113395074.5
Japan,2037,112480224
Japan,2038,111560554.5
Japan,2039,110637036
Japan,2040,109710984
Japan,2041,108782820
Japan,2042,107853447.5
Japan,2043,106925520.5
Japan,2044,106000466.5
Japan,2045,105079844.5
Japan,2046,104164017.5
Japan,2047,103253535
Japan,2048,102348680
Japan,2049,101447452
Japan,2050,100547962
Japan,2051,99649005
Japan,2052,98749436.5
Japan,2053,97845933
Japan,2054,96936521.5
Japan,2055,96020617
Japan,2056,95095457
Japan,2057,94159525.5
Japan,2058,93213165
Japan,2059,92256712.5
Japan,2060,91290963.5
Japan,2061,90315640.5
Japan,2062,89331196
Japan,2063,88340593.5
Japan,2064,87345194
Japan,2065,86347640.5
Japan,2066,85351163
Japan,2067,84357576.5
Japan,2068,83370496
Japan,2069,82393354.5
Japan,2070,81428977
Japan,2071,80480713.5
Japan,2072,79550376.5
Japan,2073,78639426
Japan,2074,77750330.5
Japan,2075,76884253.5
Japan,2076,76041262
Japan,2077,75219914.5
Japan,2078,74419795
Japan,2079,73639313
Japan,2080,72876408.5
Japan,2081,72129849.5
Japan,2082,71397779
Japan,2083,70678597
Japan,2084,69970215
Japan,2085,69270796.5
Japan,2086,68579171
Japan,2087,67894217.5
Japan,2088,67215076
Japan,2089,66541233
Japan,2090,65871466
Japan,2091,65205605.5
Japan,2092,64542998.5
Japan,2093,63882671
Japan,2094,63224888.5
Japan,2095,62570143
Japan,2096,61919571
Japan,2097,61274085
Japan,2098,60634104.5
Japan,2099,59999293.5
Japan,2100,59370825.5
