Location,Time,Value
Japan,1990,123399764.5
Japan,1991,123889870.5
Japan,1992,124383707.5
Japan,1993,124839958
Japan,1994,125286860.5
Japan,1995,125672665
Japan,1996,125975302
Japan,1997,126265929
Japan,1998,126549181
Japan,1999,126801564
Japan,2000,127027789
Japan,2001,127260148
Japan,2002,127484598
Japan,2003,127671251.5
Japan,2004,127815774
Japan,2005,127913330.5
Japan,2006,127997247.5
Japan,2007,128087682
Japan,2008,128155990
Japan,2009,128192469.5
Japan,2010,128185275
Japan,2011,128096432.5
Japan,2012,127928285
Japan,2013,127723645.5
Japan,2014,127486604.5
Japan,2015,127275872.5
Japan,2016,127159951
Japan,2017,127064690
Japan,2018,126913432.5
Japan,2019,126699423.5
Japan,2020,126304543
Japan,2021,125679338
Japan,2022,124997578
Japan,2023,124370946.5
Japan,2024,123753041
Japan,2025,123103479
Japan,2026,122427731
Japan,2027,121732340.5
Japan,2028,121024348
Japan,2029,120308089
Japan,2030,119584121.5
Japan,2031,118852085
Japan,2032,118114140.5
Japan,2033,117372474
Japan,2034,116626751
Japan,2035,115876149
Japan,2036,115125565.5
Japan,2037,114377401
Japan,2038,113633614
Japan,2039,112894531.5
Japan,2040,112158303.5
Japan,2041,111422443
Japan,2042,110692357.5
Japan,2043,109972381
Japan,2044,109259528.5
Japan,2045,108551994.5
Japan,2046,107850580.5
Japan,2047,107157970
Japan,2048,106474329
Japan,2049,105796844
Japan,2050,105123167.5
Japan,2051,104452458.5
Japan,2052,103778130
Japan,2053,103100887.5
Japan,2054,102415685
Japan,2055,101721352
Japan,2056,101018742
Japan,2057,100304740.5
Japan,2058,99583491
Japan,2059,98848887
Japan,2060,98103218.5
Japan,2061,97353646
Japan,2062,96600089.5
Japan,2063,95843768.5
Japan,2064,95085857.5
Japan,2065,94324173
Japan,2066,93563620
Japan,2067,92812404
Japan,2068,92067790.5
Japan,2069,91332806.5
Japan,2070,90611771
Japan,2071,89911340
Japan,2072,89235968
Japan,2073,88580980.5
Japan,2074,87952001.5
Japan,2075,87352846.5
Japan,2076,86780662
Japan,2077,86232702
Japan,2078,85708775.5
Japan,2079,85209307
Japan,2080,84729965.5
Japan,2081,84269888.5
Japan,2082,83826897
Japan,2083,83397932.5
Japan,2084,82980374
Japan,2085,82570777
Japan,2086,82169887
Japan,2087,81778184
Japan,2088,81393977.5
Japan,2089,81013197.5
Japan,2090,80634393
Japan,2091,80257724
Japan,2092,79879696
Japan,2093,79500582
Japan,2094,79123885
Japan,2095,78747739
Japan,2096,78369011.5
Japan,2097,77990635
Japan,2098,77612885
Japan,2099,77230866.5
Japan,2100,76845989
