Location,Time,Value
United Kingdom,2024,68929637
United Kingdom,2025,68936036
United Kingdom,2026,68929596.5
United Kingdom,2027,68911158.5
United Kingdom,2028,68880915.5
United Kingdom,2029,68839382
United Kingdom,2030,68787247
United Kingdom,2031,68723780
United Kingdom,2032,68649072
United Kingdom,2033,68563533
United Kingdom,2034,68467220
United Kingdom,2035,68361917.5
United Kingdom,2036,68248876.5
United Kingdom,2037,68128404.5
United Kingdom,2038,68001504
United Kingdom,2039,67869373
United Kingdom,2040,67733460
United Kingdom,2041,67594653.5
United Kingdom,2042,67452561.5
United Kingdom,2043,67307139.5
United Kingdom,2044,67156883.5
United Kingdom,2045,67000567.5
United Kingdom,2046,66837793.5
United Kingdom,2047,66666884
United Kingdom,2048,66486141.5
United Kingdom,2049,66294490.5
United Kingdom,2050,66092035.5
United Kingdom,2051,65878369
United Kingdom,2052,65652256
United Kingdom,2053,65413437
United Kingdom,2054,65162298.5
United Kingdom,2055,64898758
United Kingdom,2056,64623834
United Kingdom,2057,64338892.5
United Kingdom,2058,64044785
United Kingdom,2059,63742689.5
United Kingdom,2060,63433647.5
United Kingdom,2061,63118959
United Kingdom,2062,62799514.5
United Kingdom,2063,62476348.5
United Kingdom,2064,62151136.5
United Kingdom,2065,61824442
United Kingdom,2066,61496601
United Kingdom,2067,61168111
United Kingdom,2068,60838804
United Kingdom,2069,60509402
United Kingdom,2070,60180161.5
United Kingdom,2071,59850629
United Kingdom,2072,59520684
United Kingdom,2073,59190111.5
United Kingdom,2074,58857938
United Kingdom,2075,58523198
United Kingdom,2076,58185865
United Kingdom,2077,57846108
United Kingdom,2078,57504060.5
United Kingdom,2079,57159723
United Kingdom,2080,56812758
United Kingdom,2081,56463154
United Kingdom,2082,56110867
United Kingdom,2083,55756204
United Kingdom,2084,55399641.5
United Kingdom,2085,55040942.5
United Kingdom,2086,54680728.5
United Kingdom,2087,54319692.5
United Kingdom,2088,53958292
United Kingdom,2089,53597571
United Kingdom,2090,53238135
United Kingdom,2091,52880064.5
United Kingdom,2092,52523986.5
United Kingdom,2093,52170369.5
United Kingdom,2094,51819271.5
United Kingdom,2095,51470052.5
United Kingdom,2096,51122029
United Kingdom,2097,50775593
United Kingdom,2098,50430010
United Kingdom,2099,50084262.5
United Kingdom,2100,49738120.5
