Location,Time,Value
United Kingdom,1990,57367862
United Kingdom,1991,57555192
United Kingdom,1992,57719271.5
United Kingdom,1993,57861037
United Kingdom,1994,58003203
United Kingdom,1995,58154634.5
United Kingdom,1996,58298565
United Kingdom,1997,58447089
United Kingdom,1998,58626819.5
United Kingdom,1999,58838657
United Kingdom,2000,59057338
United Kingdom,2001,59288090
United Kingdom,2002,59540763
United Kingdom,2003,59820385
United Kingdom,2004,60169967
United Kingdom,2005,60596108
United Kingdom,2006,61051094.5
United Kingdom,2007,61535854.5
United Kingdom,2008,62027306.5
United Kingdom,2009,62506225.5
United Kingdom,2010,63006483
United Kingdom,2011,63509285.5
United Kingdom,2012,63960484
United Kingdom,2013,64389388
United Kingdom,2014,64865916.5
United Kingdom,2015,65382110
United Kingdom,2016,65893358
United Kingdom,2017,66354471
United Kingdom,2018,66752475
United Kingdom,2019,67110958
United Kingdom,2020,67351861.5
United Kingdom,2021,67668792
United Kingdom,2022,68179315.5
United Kingdom,2023,68682962.5
United Kingdom,2024,69138191.5
United Kingdom,2025,69551331.5
United Kingdom,2026,69931528
United Kingdom,2027,70293580.5
United Kingdom,2028,70642974
United Kingdom,2029,70971336.5
United Kingdom,2030,71286992
United Kingdom,2031,71587424
United Kingdom,2032,71868655
United Kingdom,2033,72142880
United Kingdom,2034,72405684.5
United Kingdom,2035,72656815
United Kingdom,2036,72898254.5
United Kingdom,2037,73125973
United Kingdom,2038,73348190.5
United Kingdom,2039,73564958
United Kingdom,2040,73774626.5
United Kingdom,2041,73980351
United Kingdom,2042,74181563
United Kingdom,2043,74380562
United Kingdom,2044,74572568.5
United Kingdom,2045,74753657.5
United Kingdom,2046,74925783.5
United Kingdom,2047,75089105.5
United Kingdom,2048,75241980
United Kingdom,2049,75380404
United Kingdom,2050,75504681
United Kingdom,2051,75616456.5
United Kingdom,2052,75715203
United Kingdom,2053,75797706
United Kingdom,2054,75868023
United Kingdom,2055,75921058.5
United Kingdom,2056,75956753
United Kingdom,2057,75982994.5
United Kingdom,2058,76002015
United Kingdom,2059,76010858
United Kingdom,2060,76010356
United Kingdom,2061,76011257.5
United Kingdom,2062,76015722.5
United Kingdom,2063,76018826
United Kingdom,2064,76020153
United Kingdom,2065,76022078.5
United Kingdom,2066,76025915
United Kingdom,2067,76033051.5
United Kingdom,2068,76037173
United Kingdom,2069,76040922.5
United Kingdom,2070,76049084.5
United Kingdom,2071,76059257.5
United Kingdom,2072,76068383
United Kingdom,2073,76067629
United Kingdom,2074,76057432.5
United Kingdom,2075,76045531.5
United Kingdom,2076,76038090
United Kingdom,2077,76028116
United Kingdom,2078,76010108
United Kingdom,2079,75986572
United Kingdom,2080,75956251
United Kingdom,2081,75926700.5
United Kingdom,2082,75892776.5
United Kingdom,2083,75847664
United Kingdom,2084,75797776.5
United Kingdom,2085,75743276
United Kingdom,2086,75680069.5
United Kingdom,2087,75610809.5
United Kingdom,2088,75539628
United Kingdom,2089,75462724
United Kingdom,2090,75378279
United Kingdom,2091,75289987
United Kingdom,2092,75198446.5
United Kingdom,2093,75102910
United Kingdom,2094,75005766
United Kingdom,2095,74902636.5
United Kingdom,2096,74791791
United Kingdom,2097,74679074.5
United Kingdom,2098,74562973.5
United Kingdom,2099,74438679
United Kingdom,2100,74305411
