Location,Time,AgeId,Age,Value
United States of America,1990,67,15-19,17430235.5
United States of America,1990,75,20-24,19299051
United States of America,1990,57,25-29,22075684.5
United States of America,1990,62,30-34,22533614.5
United States of America,1990,63,35-39,20585242
United States of America,1990,64,40-44,18296508
United States of America,1990,69,45-49,14320804
United States of America,1990,66,50-54,11579030
United States of America,1990,68,55-59,10761297.5
United States of America,1990,60,60-64,10650885.5
United States of America,1991,67,15-19,17119019
United States of America,1991,75,20-24,19358660
United States of America,1991,57,25-29,21676223
United States of America,1991,62,30-34,22795407.5
United States of America,1991,63,35-39,21138656
United States of America,1991,64,40-44,18865409.5
United States of America,1991,69,45-49,15012248.5
United States of America,1991,66,50-54,11832332
United States of America,1991,68,55-59,10749224
United States of America,1991,60,60-64,10568828
United States of America,1992,67,15-19,17123943
United States of America,1992,75,20-24,19332379.5
United States of America,1992,57,25-29,21176834.5
United States of America,1992,62,30-34,22946933.5
United States of America,1992,63,35-39,21649307.5
United States of America,1992,64,40-44,19141438
United States of America,1992,69,45-49,15864658.5
United States of America,1992,66,50-54,12293920.5
United States of America,1992,68,55-59,10801928.5
United States of America,1992,60,60-64,10464644
United States of America,1993,67,15-19,17415131.5
United States of America,1993,75,20-24,19189671.5
United States of America,1993,57,25-29,20698735.5
United States of America,1993,62,30-34,22953825.5
United States of America,1993,63,35-39,22104201
United States of America,1993,64,40-44,19465160.5
United States of America,1993,69,45-49,16603058.5
United States of America,1993,66,50-54,12898007
United States of America,1993,68,55-59,10936256.5
United States of America,1993,60,60-64,10338988
United States of America,1994,67,15-19,17810937
United States of America,1994,75,20-24,18967809
United States of America,1994,57,25-29,20309504
United States of America,1994,62,30-34,22867037.5
United States of America,1994,63,35-39,22467679.5
United States of America,1994,64,40-44,19942772.5
United States of America,1994,69,45-49,17291011.5
United States of America,1994,66,50-54,13493672
United States of America,1994,68,55-59,11084114.5
United States of America,1994,60,60-64,10254000.5
United States of America,1995,67,15-19,18304138
United States of America,1995,75,20-24,18632469.5
United States of America,1995,57,25-29,20175615.5
United States of America,1995,62,30-34,22637369
United States of America,1995,63,35-39,22753182.5
United States of America,1995,64,40-44,20491749
United States of America,1995,69,45-49,18045585
United States of America,1995,66,50-54,14012238
United States of America,1995,68,55-59,11219998
United States of America,1995,60,60-64,10214702.5
United States of America,1996,67,15-19,18837089.5
United States of America,1996,75,20-24,18309323
United States of America,1996,57,25-29,20221895
United States of America,1996,62,30-34,22215696.5
United States of America,1996,63,35-39,23002752.5
United States of America,1996,64,40-44,21035919
