Location,Time,Value
United States of America,1990,253373387
United States of America,1991,256471422.5
United States of America,1992,259606019.5
United States of America,1993,262633231
United States of America,1994,265474810
United States of America,1995,268205794.5
United States of America,1996,270860696
United States of America,1997,273468012.5
United States of America,1998,276119332.5
United States of America,1999,278785484
United States of America,2000,281484130.5
United States of America,2001,284279638.5
United States of America,2002,287084338
United States of America,2003,289908099.5
United States of America,2004,292786253.5
United States of America,2005,295716663.5
United States of America,2006,298730209.5
United States of America,2007,301844225.5
United States of America,2008,304970332.5
United States of America,2009,308023454.5
United States of America,2010,311062790
United States of America,2011,314105078
United States of America,2012,317115354.5
United States of America,2013,320110759
United States of America,2014,323115377
United States of America,2015,326126496.5
United States of America,2016,329179426.5
United States of America,2017,332204659.5
United States of America,2018,335056497.5
United States of America,2019,337790066.5
United States of America,2020,339436158.5
United States of America,2021,340161441
United States of America,2022,341534045.5
United States of America,2023,343477335
United States of America,2024,345426571
United States of America,2025,347275807.5
United States of America,2026,349035494
United States of America,2027,350728355
United States of America,2028,352404085.5
United States of America,2029,354050267.5
United States of America,2030,355649881
United States of America,2031,357222715.5
United States of America,2032,358769974
United States of America,2033,360294008.5
United States of America,2034,361801811
United States of America,2035,363284716
United States of America,2036,364731659.5
United States of America,2037,366152370
United States of America,2038,367551455.5
United States of America,2039,368906818
United States of America,2040,370209316
United States of America,2041,371469478
United States of America,2042,372704772
United States of America,2043,373900677.5
United States of America,2044,375029245.5
United States of America,2045,376106472.5
United States of America,2046,377131727.5
United States of America,2047,378117767
United States of America,2048,379063744.5
United States of America,2049,379966906
United States of America,2050,380846909.5
United States of America,2051,381708396.5
United States of America,2052,382543753.5
United States of America,2053,383359332
United States of America,2054,384145920
United States of America,2055,384894297.5
United States of America,2056,385642341
United States of America,2057,386425226
United States of America,2058,387253705.5
United States of America,2059,388093057.5
United States of America,2060,388918394.5
United States of America,2061,389765293.5
United States of America,2062,390647521.5
United States of America,2063,391545618.5
United States of America,2064,392444228
United States of America,2065,393352609
United States of America,2066,394294349.5
United States of America,2067,395267226
United States of America,2068,396248285.5
United States of America,2069,397237405
United States of America,2070,398218088
United States of America,2071,399192919.5
United States of America,2072,400151803.5
United States of America,2073,401080532.5
United States of America,2074,401993348
United States of America,2075,402910163
United States of America,2076,403820926
United States of America,2077,404683462
United States of America,2078,405518702
United States of America,2079,406319929.5
United States of America,2080,407079816
United States of America,2081,407866284.5
United States of America,2082,408655860.5
United States of America,2083,409401659
United States of America,2084,410134666.5
United States of America,2085,410829984.5
United States of America,2086,411520086.5
United States of America,2087,412236776.5
United States of America,2088,412978780
United States of America,2089,413730741
United States of America,2090,414457640
United States of America,2091,415186389
United States of America,2092,415929000
United States of America,2093,416662126.5
United States of America,2094,417391615.5
United States of America,2095,418115527.5
United States of America,2096,418800097.5
United States of America,2097,419461017
United States of America,2098,420095820
United States of America,2099,420702888
United States of America,2100,421278889.5
