IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",59873
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",77417
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",71451
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33688
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3113
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1890
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4077
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1589
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",8702
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19949
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",17631
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39866
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37508
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44362
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",55007
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50676
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25787
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",24616
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25405
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",18222
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22570
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31887
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45014
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",56726
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",74375
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",115175
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",65976
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45478
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35296
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41090
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39601
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",52150
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",157365
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4819
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",1,"95% lower bound",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",-44000
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",8813
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",75,"2024",6,"95% upper bound",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",62000
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",1,"95% lower bound",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",-56000
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",11254
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",76,"2025",6,"95% upper bound",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",77000
