Type of projection,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
Baseline projections,Germany,2022,53193690
Baseline projections,Germany,2023,53879298
Baseline projections,Germany,2024,53968800
Baseline projections,Germany,2025,53766976
Baseline projections,Germany,2026,53504357
Baseline projections,Germany,2027,53145930
Baseline projections,Germany,2028,52741317
Baseline projections,Germany,2029,52314579
Baseline projections,Germany,2030,51916372
Baseline projections,Germany,2031,51561408
Baseline projections,Germany,2032,51245848
Baseline projections,Germany,2033,50964876
Baseline projections,Germany,2034,50716365
Baseline projections,Germany,2035,50540715
Baseline projections,Germany,2036,50436725
Baseline projections,Germany,2037,50382535
Baseline projections,Germany,2038,50369077
Baseline projections,Germany,2039,50450163
Baseline projections,Germany,2040,50534263
Baseline projections,Germany,2041,50620227
Baseline projections,Germany,2042,50672417
Baseline projections,Germany,2043,50698169
Baseline projections,Germany,2044,50705006
Baseline projections,Germany,2045,50689796
Baseline projections,Germany,2046,50620419
Baseline projections,Germany,2047,50545867
Baseline projections,Germany,2048,50453681
Baseline projections,Germany,2049,50370209
Baseline projections,Germany,2050,50278679
Baseline projections,Germany,2051,50171404
Baseline projections,Germany,2052,50028973
Baseline projections,Germany,2053,49861432
Baseline projections,Germany,2054,49661357
Baseline projections,Germany,2055,49478427
Baseline projections,Germany,2056,49277361
Baseline projections,Germany,2057,49150072
Baseline projections,Germany,2058,49045442
Baseline projections,Germany,2059,48948907
Baseline projections,Germany,2060,48871754
Baseline projections,Germany,2061,48799080
Baseline projections,Germany,2062,48706027
Baseline projections,Germany,2063,48599361
Baseline projections,Germany,2064,48519068
Baseline projections,Germany,2065,48450531
Baseline projections,Germany,2066,48386889
Baseline projections,Germany,2067,48358705
Baseline projections,Germany,2068,48346685
Baseline projections,Germany,2069,48343444
Baseline projections,Germany,2070,48338831
Baseline projections,Germany,2071,48338651
Baseline projections,Germany,2072,48346562
Baseline projections,Germany,2073,48339098
Baseline projections,Germany,2074,48322332
Baseline projections,Germany,2075,48319981
Baseline projections,Germany,2076,48299561
Baseline projections,Germany,2077,48288716
Baseline projections,Germany,2078,48257333
Baseline projections,Germany,2079,48216561
Baseline projections,Germany,2080,48144359
Baseline projections,Germany,2081,48057042
Baseline projections,Germany,2082,47939924
Baseline projections,Germany,2083,47822307
Baseline projections,Germany,2084,47703781
Baseline projections,Germany,2085,47591603
Baseline projections,Germany,2086,47480361
Baseline projections,Germany,2087,47354392
Baseline projections,Germany,2088,47270258
Baseline projections,Germany,2089,47163093
Baseline projections,Germany,2090,47056783
Baseline projections,Germany,2091,46956343
Baseline projections,Germany,2092,46862253
Baseline projections,Germany,2093,46774642
Baseline projections,Germany,2094,46694005
Baseline projections,Germany,2095,46620215
Baseline projections,Germany,2096,46553127
Baseline projections,Germany,2097,46492382
Baseline projections,Germany,2098,46437483
Baseline projections,Germany,2099,46387791
Baseline projections,Germany,2100,46342284
Baseline projections,Spain,2022,31278325
Baseline projections,Spain,2023,31652736
Baseline projections,Spain,2024,31902305
Baseline projections,Spain,2025,32041549
Baseline projections,Spain,2026,32112622
Baseline projections,Spain,2027,32139572
Baseline projections,Spain,2028,32096270
Baseline projections,Spain,2029,32012282
Baseline projections,Spain,2030,31904257
Baseline projections,Spain,2031,31799202
Baseline projections,Spain,2032,31680334
Baseline projections,Spain,2033,31526655
Baseline projections,Spain,2034,31355273
Baseline projections,Spain,2035,31168665
Baseline projections,Spain,2036,30958356
Baseline projections,Spain,2037,30734748
Baseline projections,Spain,2038,30492531
Baseline projections,Spain,2039,30244679
Baseline projections,Spain,2040,29979266
Baseline projections,Spain,2041,29707940
Baseline projections,Spain,2042,29431385
Baseline projections,Spain,2043,29167948
Baseline projections,Spain,2044,28914442
Baseline projections,Spain,2045,28691506
Baseline projections,Spain,2046,28488606
Baseline projections,Spain,2047,28316255
Baseline projections,Spain,2048,28170491
Baseline projections,Spain,2049,28056640
Baseline projections,Spain,2050,27960611
Baseline projections,Spain,2051,27884033
Baseline projections,Spain,2052,27823624
Baseline projections,Spain,2053,27773685
Baseline projections,Spain,2054,27726162
Baseline projections,Spain,2055,27683846
Baseline projections,Spain,2056,27643931
Baseline projections,Spain,2057,27605014
Baseline projections,Spain,2058,27556440
Baseline projections,Spain,2059,27512958
Baseline projections,Spain,2060,27475284
Baseline projections,Spain,2061,27433742
Baseline projections,Spain,2062,27382769
Baseline projections,Spain,2063,27318729
Baseline projections,Spain,2064,27249815
Baseline projections,Spain,2065,27162076
Baseline projections,Spain,2066,27058641
Baseline projections,Spain,2067,26949486
Baseline projections,Spain,2068,26833731
Baseline projections,Spain,2069,26698624
Baseline projections,Spain,2070,26553220
Baseline projections,Spain,2071,26401434
Baseline projections,Spain,2072,26239839
Baseline projections,Spain,2073,26074447
Baseline projections,Spain,2074,25891913
Baseline projections,Spain,2075,25730550
Baseline projections,Spain,2076,25576262
Baseline projections,Spain,2077,25425135
Baseline projections,Spain,2078,25288289
Baseline projections,Spain,2079,25171746
Baseline projections,Spain,2080,25050479
Baseline projections,Spain,2081,24935232
Baseline projections,Spain,2082,24830079
Baseline projections,Spain,2083,24744616
Baseline projections,Spain,2084,24681042
Baseline projections,Spain,2085,24631787
Baseline projections,Spain,2086,24599543
Baseline projections,Spain,2087,24571075
Baseline projections,Spain,2088,24550340
Baseline projections,Spain,2089,24531868
Baseline projections,Spain,2090,24513661
Baseline projections,Spain,2091,24495256
Baseline projections,Spain,2092,24475633
Baseline projections,Spain,2093,24453813
Baseline projections,Spain,2094,24429104
Baseline projections,Spain,2095,24400747
Baseline projections,Spain,2096,24368150
Baseline projections,Spain,2097,24330885
Baseline projections,Spain,2098,24288644
Baseline projections,Spain,2099,24241214
Baseline projections,Spain,2100,24188608
Baseline projections,France,2022,41768905
Baseline projections,France,2023,41897297
Baseline projections,France,2024,41966928
Baseline projections,France,2025,41985267
Baseline projections,France,2026,42002454
Baseline projections,France,2027,41988109
Baseline projections,France,2028,41963733
Baseline projections,France,2029,41903604
Baseline projections,France,2030,41832122
Baseline projections,France,2031,41749887
Baseline projections,France,2032,41656320
Baseline projections,France,2033,41566542
Baseline projections,France,2034,41462350
Baseline projections,France,2035,41346754
Baseline projections,France,2036,41207408
Baseline projections,France,2037,41054413
Baseline projections,France,2038,40941551
Baseline projections,France,2039,40831234
Baseline projections,France,2040,40754677
Baseline projections,France,2041,40712673
Baseline projections,France,2042,40691012
Baseline projections,France,2043,40649221
Baseline projections,France,2044,40608342
Baseline projections,France,2045,40553510
Baseline projections,France,2046,40456657
Baseline projections,France,2047,40373321
Baseline projections,France,2048,40294688
Baseline projections,France,2049,40260207
Baseline projections,France,2050,40214021
Baseline projections,France,2051,40161299
Baseline projections,France,2052,40103998
Baseline projections,France,2053,40054056
Baseline projections,France,2054,40000436
Baseline projections,France,2055,39952979
Baseline projections,France,2056,39904043
Baseline projections,France,2057,39867461
Baseline projections,France,2058,39834938
Baseline projections,France,2059,39824285
Baseline projections,France,2060,39809311
Baseline projections,France,2061,39775172
Baseline projections,France,2062,39730337
Baseline projections,France,2063,39682680
Baseline projections,France,2064,39617165
Baseline projections,France,2065,39541287
Baseline projections,France,2066,39418767
Baseline projections,France,2067,39303257
Baseline projections,France,2068,39189500
Baseline projections,France,2069,39077843
Baseline projections,France,2070,38958116
Baseline projections,France,2071,38835721
Baseline projections,France,2072,38700547
Baseline projections,France,2073,38576816
Baseline projections,France,2074,38448368
Baseline projections,France,2075,38322888
Baseline projections,France,2076,38188910
Baseline projections,France,2077,38073205
Baseline projections,France,2078,37959562
Baseline projections,France,2079,37858167
Baseline projections,France,2080,37760704
Baseline projections,France,2081,37684421
Baseline projections,France,2082,37624334
Baseline projections,France,2083,37581866
Baseline projections,France,2084,37551165
Baseline projections,France,2085,37525895
Baseline projections,France,2086,37513763
Baseline projections,France,2087,37496585
Baseline projections,France,2088,37435680
Baseline projections,France,2089,37388814
Baseline projections,France,2090,37341419
Baseline projections,France,2091,37293331
Baseline projections,France,2092,37243595
Baseline projections,France,2093,37191511
Baseline projections,France,2094,37135843
Baseline projections,France,2095,37076099
Baseline projections,France,2096,37011942
Baseline projections,France,2097,36943177
Baseline projections,France,2098,36869963
Baseline projections,France,2099,36792593
Baseline projections,France,2100,36711506
Baseline projections,Italy,2022,37488934
Baseline projections,Italy,2023,37492478
Baseline projections,Italy,2024,37434144
Baseline projections,Italy,2025,37325396
Baseline projections,Italy,2026,37200581
Baseline projections,Italy,2027,37047678
Baseline projections,Italy,2028,36880708
Baseline projections,Italy,2029,36667508
Baseline projections,Italy,2030,36396336
Baseline projections,Italy,2031,36125354
Baseline projections,Italy,2032,35843899
Baseline projections,Italy,2033,35559859
Baseline projections,Italy,2034,35263552
Baseline projections,Italy,2035,34949389
Baseline projections,Italy,2036,34643458
Baseline projections,Italy,2037,34325713
Baseline projections,Italy,2038,34009162
Baseline projections,Italy,2039,33695630
Baseline projections,Italy,2040,33377206
Baseline projections,Italy,2041,33089616
Baseline projections,Italy,2042,32837309
Baseline projections,Italy,2043,32615861
Baseline projections,Italy,2044,32417146
Baseline projections,Italy,2045,32253518
Baseline projections,Italy,2046,32109721
Baseline projections,Italy,2047,31981612
Baseline projections,Italy,2048,31856811
Baseline projections,Italy,2049,31752449
Baseline projections,Italy,2050,31657685
Baseline projections,Italy,2051,31572764
Baseline projections,Italy,2052,31503304
Baseline projections,Italy,2053,31433833
Baseline projections,Italy,2054,31348969
Baseline projections,Italy,2055,31274015
Baseline projections,Italy,2056,31192347
Baseline projections,Italy,2057,31114941
Baseline projections,Italy,2058,31027923
Baseline projections,Italy,2059,30954285
Baseline projections,Italy,2060,30879695
Baseline projections,Italy,2061,30799282
Baseline projections,Italy,2062,30705047
Baseline projections,Italy,2063,30599819
Baseline projections,Italy,2064,30480502
