STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,74902.4462167219,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,78007.4059243389,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,78218.9307319498,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,81320.9806384967,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,90725.7785080496,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUS,Australia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,98695.8414837875,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995,,22132.7183070346,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996,,22809.5930451704,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997,,23566.487170435,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,XDC_PS,National currency per person,V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998,,24480.3328757975,,A,Normal value,0,Units,,,2,Two
