Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Population growth (annual %),SP.POP.GROW,,1.187344266,1.326227235,1.203664309,1.076601948,0.986114425,0.862398829,0.503043106,0.133831409,-0.028784044,-0.172878469,-0.287095355,-1.256564621,0.433191333,0.085728007,-0.092589424,0.125146807,0.362554695,0.334026692,0.703589499,1.205724095,1.08574013,1.17041036,1.541681007,1.075700261,-1.882442511,-2.954373626,-1.296516608,0.290320062,1.856883717,3.750561346,4.8871356,4.61012241,6.562028493,5.170374146,2.808316701,3.950742871,3.874759767,2.460754086,1.356485906,1.030816853,0.935032935,0.692051827,1.138228939,2.135357818,2.590756656,1.796637852,0.74666479,0.76293347,0.678450763,0.230041096,0.736689418,1.46978229,1.492031397,1.0655121,1.023701031,0.757967559,0.007357607,0.158975971,0.270504633,-0.565684047,-0.820211083,-0.362774222,0.045651678,0.590657103,
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,,2.62462352,2.687008776,2.714041935,2.769855664,2.809882212,2.810323756,2.844811161,2.890530532,2.889450653,2.888509046,2.886861593,2.842601564,2.920574907,2.974922147,2.921867255,2.917297316,2.829596688,2.989523557,3.129089164,2.998951228,3.093171484,3.215599196,3.132650667,3.03401872,3.010992352,2.987529649,2.996760727,2.904707553,2.825753038,2.866548907,2.750693813,2.660481651,2.76949139,2.659317274,2.59624754,2.645207241,2.563609347,2.590829061,2.622892956,2.59538934,2.588641771,2.607801575,2.619068095,2.641371498,2.658478397,2.669765886,2.691444983,2.723640015,2.737237572,2.734525196,2.684621433,2.693512893,2.748245583,2.704104696,2.696830388,2.640743255,2.642067288,2.734262824,2.721680523,2.699516097,2.649439164,2.592754452,2.519166645,2.472801479,
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,,1.96223912,2.044522836,2.105208225,2.161195472,2.23370858,2.269651429,2.306668007,2.360683434,2.392720378,2.445205745,2.428516313,2.442583899,2.534758939,2.526844215,2.415250485,2.213446083,2.128099564,2.008697854,0.323658823,-3.62580788,-9.819770739,-8.258034385,-0.669999257,2.46291172,2.092575239,-0.059334023,-0.282849651,1.182671147,2.998764795,1.434588211,1.591325884,8.15641941,11.80725911,8.388729602,4.89368012,4.005404674,3.804508034,3.764686638,3.72811604,1.212175976,0.762004897,5.252029585,6.145194002,3.575834854,3.51921696,4.092702017,1.89259754,2.186546182,3.646380908,2.934686702,3.691503084,4.047862563,3.418226676,3.632518847,3.119959241,2.535719918,2.808337308,2.910809599,2.984389136,3.153609203,2.356097792,1.43570437,2.13559385,2.836573172,
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,,2.103831781,2.131522215,2.170014596,2.184894073,2.216283427,2.249277325,2.264621906,2.301718162,2.34163602,2.389781198,2.416704632,2.451102246,2.52179364,2.599349836,2.675541305,2.682437496,2.71767274,2.793968127,2.831228535,2.832284689,2.846610539,2.902373097,2.732463028,2.634795561,2.733968066,2.739907324,2.737858746,2.748296572,2.771154541,2.661366151,2.643001405,2.755938951,2.700827771,2.654621648,2.723029036,2.72058548,2.719072605,2.761684837,2.731661919,2.751323928,2.801539644,2.810771384,2.814174224,2.828565018,2.839589558,2.826084198,2.821970537,2.826071789,2.792373967,2.786988936,2.822860884,2.781261731,2.731162068,2.730315606,2.699359033,2.672912947,2.626295641,2.533620527,2.440048009,2.389175704,2.363828975,2.332270394,2.38620356,2.398473142,
Angola,AGO,Population growth (annual %),SP.POP.GROW,,1.327797474,0.989638885,1.003666453,1.027683711,1.052132703,1.070045993,1.076727162,1.073516728,1.063745555,1.534110182,2.335723958,3.011399271,3.411452071,3.458902199,3.41255829,3.330146444,3.379374805,3.476853681,3.507543622,3.587939864,3.642460453,3.678035002,3.71606374,3.706036014,3.678647742,3.618425561,3.473748029,3.40339477,3.414571629,3.392403354,3.359054615,3.274142461,3.19559443,3.241689202,3.339988737,3.381608922,3.395515042,3.346795466,3.295276636,3.312287469,3.353709414,3.407476157,3.493342778,3.594457524,3.646268934,3.684892016,3.74258021,3.778289766,3.801561875,3.851098249,3.887945997,3.883583555,3.84998069,3.732728067,3.605071622,3.57644144,3.540612215,3.453233009,3.387884222,3.267958649,3.1813226,3.14302612,3.080655307,3.044199722,
Albania,ALB,Population growth (annual %),SP.POP.GROW,,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-1.543136705,-1.543144714,-1.543137537,-1.543120069,-1.543134709,-1.543151568,-1.543099916,-1.543137091,-1.543155893,-1.54312081,-1.543156677,-1.543108114,-1.543143935,
Andorra,AND,Population growth (annual %),SP.POP.GROW,,7.814816969,7.519100475,7.211505955,6.883059787,6.593796452,7.023409391,7.954820766,8.116408607,7.722623394,7.384231728,7.077000364,6.827128546,6.598855179,6.347262685,6.09802462,5.815408933,5.489293645,5.133349038,4.687542409,4.212470768,3.803010686,4.201690034,4.541364497,4.124295853,3.605584643,4.263757297,4.110358342,3.63286712,2.407249672,3.831232878,7.453294682,6.04803216,4.97705409,2.095725883,-1.089301487,0.112591492,1.11281494,1.048578972,0.500412969,-0.038053199,0.253921086,0.988236937,4.383312427,6.732207545,4.081069274,2.756757126,2.839248826,1.956862869,0.469582601,-3.866965388,-3.689002364,-1.227564779,-2.157580998,-1.956673204,-2.142483826,0.009698313,2.16803975,1.878853322,1.730502969,1.177753549,1.263628895,1.696768086,1.433747569,1.329306894,
Arab World,ARB,Population growth (annual %),SP.POP.GROW,,2.578238793,2.62350863,2.670592656,2.681113132,2.680984443,2.745889669,2.835185973,2.872995341,2.895825474,2.876594693,2.84901518,2.851043432,2.936110854,2.961151689,3.066690543,3.187669596,3.134220942,3.289411907,3.509672612,3.462196276,3.202304929,3.101053654,3.144938259,3.133547377,3.073972081,3.041368826,2.98499141,2.770273622,2.674422031,3.286266692,2.311075719,2.558576356,2.779630188,2.74309358,2.522577221,2.441508628,2.405632525,2.419798413,2.393525671,2.415435275,2.424463649,2.393381925,2.341444212,2.32646818,2.373737854,2.418490817,2.51603697,2.544916915,2.472049989,1.995151689,2.307369701,2.38370613,2.571204805,2.345127565,2.458022191,2.317615386,2.006269858,1.777681904,1.882016034,2.102945229,1.514375474,2.297413982,2.255866026,2.155916763,
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,,4.943027508,4.918728743,4.890645688,4.79792439,4.536342872,4.030696991,3.237143512,10.41043012,18.38281572,17.86429305,15.63469429,13.90685717,12.52772652,11.39834253,10.43037036,12.6185316,14.25298855,13.05782565,11.95134055,10.7682354,7.960032297,5.871800884,5.742154138,5.564806491,5.360261609,6.291195797,7.029461493,6.608235614,6.227486299,5.878422879,5.553809971,5.247244011,4.952239975,4.66407381,4.471765524,6.47661449,8.124394045,7.617796946,7.157275754,6.735681701,6.376268946,6.075393205,5.784476952,5.487941577,5.187644319,7.121344103,11.58997989,11.38163441,6.21880036,2.398012041,3.359320963,3.958992142,3.999119788,4.652922109,5.383801622,4.930468948,3.173797859,1.329868733,1.054516344,-0.474850155,1.83513009,5.088341534,3.977170975,4.683160953,
Argentina,ARG,Population growth (annual %),SP.POP.GROW,,1.655166914,1.656840891,1.643398417,1.610308825,1.564114466,1.531511345,1.525525645,1.530070062,1.535106952,1.560019413,1.574258289,1.583296226,1.616756118,1.644732158,1.608108356,1.565232308,1.583610413,1.598850033,1.596847799,1.593042286,1.602012321,1.604206799,1.601904245,1.592356919,1.572629301,1.555391224,1.545129262,1.549903304,1.531348171,1.491574629,1.43788007,1.3843812,1.353640186,1.340137575,1.310311508,1.257452179,1.214647959,1.175525632,1.153043172,1.133128076,1.097946728,1.069413183,1.033139977,1.01407652,1.027457722,1.028247605,0.991101935,1.012888785,1.059774707,1.056363322,1.064740097,1.027661364,0.99295899,1.031743579,1.047258887,0.968911126,0.881249595,0.82296948,0.710900853,0.484665637,0.265879395,0.210808731,0.286976122,0.34582982,
